first_name,last_name,email,university,major,year
John,Doe,your.email@example.com,Boston University,Computer Science,Junior
Jane,Smith,your.email@example.com,MIT,Electrical Engineering,Senior
Alex,Johnson,your.email@example.com,Harvard,Data Science,Sophomore
Maria,Garcia,your.email@example.com,Northeastern,Computer Engineering,Freshman
Robert,Lee,your.email@example.com,BU,Physics,Senior
Emily,Chen,your.email@example.com,Tufts,Mathematics,Junior
Michael,Brown,your.email@example.com,Harvard,Business,Sophomore
Sarah,Taylor,your.email@example.com,Boston College,Biology,Senior
David,Williams,your.email@example.com,Northeastern,Computer Science,Junior
Lisa,Miller,your.email@example.com,MIT,Robotics,Freshman
